"site","Treatment","Median_AI_mod","Median_NOSC","Median_DBE","Median_delGcoxPerCmol","Median_delGcoxPerCompmol","Median_Lambda","Median_Formulas"
"EC_080","Dry",0.3125,-0.333333333333333,12,-143.997421088052,-3284.39967256102,0.0384784819386087,1228
"EC_080","Wet",0.26530612244898,-0.355042016806722,12,-144.155436137681,-3355.1458292058,0.0377409573197608,734
"EC_081","Dry",0.142857142857143,-0.294117647058823,10,-143.347370510321,-3135.02273269236,0.0408251640623944,775
"EC_081","Wet",0.260869565217391,-0.4,11,-144.241651507455,-3400.2150095998,0.0366977918297616,471
"EC_084","Dry",0.257142857142857,-0.464102564102565,11,-144.974059251734,-3524.66116624458,0.0347164142052953,572
"EC_084","Wet",0.169811320754717,-0.285714285714286,10,-144.100777521512,-3338.09967256102,0.0383573874009571,382
"EC_085","Dry",0.243843843843843,-0.439613526570048,11,-144.755606016984,-3463.82273269236,0.0355266803548582,982
"EC_085","Wet",0.232051282051282,-0.385856079404467,10,-144.050754118201,-3484.70732288936,0.0361550796818991,540
"EC_089","Dry",0.2,-0.454545454545454,11,-145.497555384124,-3551.51116624459,0.0341169365702611,728
"EC_089","Wet",0.342342342342342,-0.424242424242424,13,-144.385698693382,-3947.91879838186,0.0322667358360601,193
"EC_090","Dry",0.318181818181818,-0.363636363636363,13,-144.831001841879,-3685.0149732177,0.0351741369822691,307
"EC_090","Wet",0.235294117647059,-0.333333333333333,11,-143.694657106991,-3410.12273269236,0.0376324982007127,929
"EC_091","Dry",0.268292682926829,-0.375,12,-144.378006785493,-3408.09963617891,0.0360100334842931,545
"EC_091","Wet",0.25,-0.303030303030303,12,-143.542168185259,-3413.96116624458,0.0377223592673602,789
"EC_092","Dry",0.26530612244898,-0.395121951219513,12,-144.675509210304,-3774.83038302069,0.033298918824387,667
"EC_092","Wet",0.292892156862746,-0.210526315789473,12,-142.905369782679,-3229.6881243043,0.0401366453628424,752
"EC_093","Dry",0.276595744680851,-0.411764705882353,12,-144.559813822878,-3569.19963617891,0.0375670366232346,367
"EC_093","Wet",0.317627494456763,-0.4,12,-144.796395890142,-3840.25344315203,0.0325569454060652,298
"EC_094","Dry",0.254901960784314,-0.4,12,-144.663446058574,-3505.05347953414,0.0346174885672793,487
"EC_094","Wet",0.260869565217391,-0.307692307692307,12,-142.853830514478,-3596.04963617891,0.0367064539530532,587
"EC_095","Dry",0.224489795918367,-0.405128205128206,10,-144.213482285136,-3255.89967256102,0.0390441928189635,337
"EC_095","Wet",0.255813953488372,-0.466666666666667,11,-145.183901327536,-3614.74579282369,0.034299207396957,461
